@RELATION possessions

@ATTRIBUTE ID string
@ATTRIBUTE left5 string
@ATTRIBUTE left4 string
@ATTRIBUTE left3 string
@ATTRIBUTE left2 string
@ATTRIBUTE left1 string
@ATTRIBUTE left_bigram string
@ATTRIBUTE left_bigram_pos string
@ATTRIBUTE left_trigram string
@ATTRIBUTE left_trigram_pos string
@ATTRIBUTE left5 role
@ATTRIBUTE left4 role
@ATTRIBUTE left3 role
@ATTRIBUTE left2 role
@ATTRIBUTE left1 role
@ATTRIBUTE right1 string
@ATTRIBUTE right2 string
@ATTRIBUTE right3 string
@ATTRIBUTE right4 string
@ATTRIBUTE right5 string
@ATTRIBUTE right_bigram string
@ATTRIBUTE right_bigram_pos string
@ATTRIBUTE right_trigram string
@ATTRIBUTE right_trigram_pos string
@ATTRIBUTE right1 role
@ATTRIBUTE right2 role
@ATTRIBUTE right3 role
@ATTRIBUTE right4 role
@ATTRIBUTE right5 role
@ATTRIBUTE neighbor_sentence string
@ATTRIBUTE possessive_pronoun numeric
@ATTRIBUTE jj_near numeric
@ATTRIBUTE low_category string
@ATTRIBUTE top_category string
@ATTRIBUTE word string
@ATTRIBUTE class {non_possession,possession}

@DATA
"1_6_17","JJ","DT","TO","VBP","PRP", "we_move move_to to_a a_new", "PRP_VBP VBP_TO TO_DT DT_JJ", "we_move_to move_to_a to_a_new", "PRP_VBP_TO VBP_TO_DT TO_DT_JJ","nsubj","ROOT","aux","xcomp","amod", "RB", "IN", "NNS", "RB", "PRP", "especially_if if_it’s it’s_abroad abroad_it", "RB_IN IN_NNS NNS_RB RB_PRP", "especially_if_it’s if_it’s_abroad it’s_abroad_it", "RB_IN_NNS IN_NNS_RB NNS_RB_PRP","advmod","adpmod","advcl","advmod","nsubj", "we move to a new especially if it’s abroad it", 0, 1, "", "", "city", non_possession
"1_6_21","IN","RB","NN","JJ","DT", "a_new new_city city_especially especially_if", "DT_JJ JJ_NN NN_RB RB_IN", "a_new_city new_city_especially city_especially_if", "DT_JJ_NN JJ_NN_RB NN_RB_IN","xcomp","amod","dobj","advmod","adpmod", "RB", "PRP", "RB", "VBZ", "IN", "abroad_it it_often often_feels feels_like", "RB_PRP PRP_RB RB_VBZ VBZ_IN", "abroad_it_often it_often_feels often_feels_like", "RB_PRP_RB PRP_RB_VBZ RB_VBZ_IN","advmod","nsubj","advmod","ccomp","mark", "a new city especially if abroad it often feels like", 0, 0, "", "", "it’s", non_possession
"1_6_34","JJ","RB","DT","VBG","VBD", "started_living living_a a_completely completely_new", "VBD_VBG VBG_DT DT_RB RB_JJ", "started_living_a living_a_completely a_completely_new", "VBD_VBG_DT VBG_DT_RB DT_RB_JJ","aux","ccomp","det","advmod","amod", "", "", "", "", "", "", "", "", "","","","","","", "started living a completely new", 0, 1, "", "", "life", non_possession
"1_6_36", "", "", "", "", "", "", "", "", "","","","","","", "PRP", "VBP", "DT", "JJ", "NN", "we_are are_a a_different different_person", "PRP_VBP VBP_DT DT_JJ JJ_NN", "we_are_a are_a_different a_different_person", "PRP_VBP_DT VBP_DT_JJ DT_JJ_NN","adpobj","ROOT","det","amod","nsubj", "we are a different person", 0, 0, "", "", "Like", non_possession
"1_6_41","JJ","DT","VBP","PRP","NNP", "Like_we we_are are_a a_different", "NNP_PRP PRP_VBP VBP_DT DT_JJ", "Like_we_are we_are_a are_a_different", "NNP_PRP_VBP PRP_VBP_DT VBP_DT_JJ","adpmod","adpobj","ROOT","det","amod", "VBN", "TO", "DT", "CD", "WDT", "compared_to to_the the_one one_that", "VBN_TO TO_DT DT_CD CD_WDT", "compared_to_the to_the_one the_one_that", "VBN_TO_DT TO_DT_CD DT_CD_WDT","ccomp","","","num","", "Like we are a different compared to the one that", 0, 1, "", "", "person", non_possession
"1_7_4","JJ","DT","IN","VBG", "", "Living_in in_a a_foreign", "VBG_IN IN_DT DT_JJ", "Living_in_a in_a_foreign", "VBG_IN_DT IN_DT_JJ","","nsubj","adpmod","det","amod", "VBZ", "JJ", "JJ", "IN", "VBG", "feels_much much_different different_than than_going", "VBZ_JJ JJ_JJ JJ_IN IN_VBG", "feels_much_different much_different_than different_than_going", "VBZ_JJ_JJ JJ_JJ_IN JJ_IN_VBG","ROOT","","acomp","adpmod","adpcomp", "Living in a foreign feels much different than going", 0, 1, "", "", "place", non_possession
"1_7_13","DT","IN","RB","VBG","IN", "than_going going_there there_as as_a", "IN_VBG VBG_RB RB_IN IN_DT", "than_going_there going_there_as there_as_a", "IN_VBG_RB VBG_RB_IN RB_IN_DT","adpmod","adpcomp","advmod","adpmod","det", "", "", "", "", "", "", "", "", "","","","","","", "than going there as a", 0, 0, "", "", "tourist", non_possession
"1_7_17","DT","IN", "", "", "", "As_a", "IN_DT", "", "","","","","mark","det", "PRP", "VBZ", "JJ", "NN", "TO", "it_seems seems_much much_harder harder_to", "PRP_VBZ VBZ_JJ JJ_NN NN_TO", "it_seems_much seems_much_harder much_harder_to", "PRP_VBZ_JJ VBZ_JJ_NN JJ_NN_TO","nsubj","","amod","nsubj","aux", "As a it seems much harder to", 0, 0, "", "", "tourist", non_possession
"1_7_22","JJ","VBZ","PRP","NN","DT", "a_tourist tourist_it it_seems seems_much", "DT_NN NN_PRP PRP_VBZ VBZ_JJ", "a_tourist_it tourist_it_seems it_seems_much", "DT_NN_PRP NN_PRP_VBZ PRP_VBZ_JJ","det","adpobj","nsubj","","amod", "TO", "NN", "DT", "NN", "DT", "to_experience experience_the the_way way_the", "TO_NN NN_DT DT_NN NN_DT", "to_experience_the experience_the_way the_way_the", "TO_NN_DT NN_DT_NN DT_NN_DT","aux","ccomp","det","","det", "a tourist it seems much to experience the way the", 0, 1, "", "", "harder", non_possession
"1_7_24","TO","NN","JJ","VBZ","PRP", "it_seems seems_much much_harder harder_to", "PRP_VBZ VBZ_JJ JJ_NN NN_TO", "it_seems_much seems_much_harder much_harder_to", "PRP_VBZ_JJ VBZ_JJ_NN JJ_NN_TO","nsubj","","amod","nsubj","aux", "DT", "NN", "DT", "JJ", "NN", "the_way way_the the_foreign foreign_culture", "DT_NN NN_DT DT_JJ JJ_NN", "the_way_the way_the_foreign the_foreign_culture", "DT_NN_DT NN_DT_JJ DT_JJ_NN","det","","det","amod","compmod", "it seems much harder to the way the foreign culture", 0, 1, "", "", "experience", non_possession
"1_7_26","DT","NN","TO","NN","JJ", "much_harder harder_to to_experience experience_the", "JJ_NN NN_TO TO_NN NN_DT", "much_harder_to harder_to_experience to_experience_the", "JJ_NN_TO NN_TO_NN TO_NN_DT","amod","nsubj","aux","ccomp","det", "DT", "JJ", "NN", "NNS", "CC", "the_foreign foreign_culture culture_breaths breaths_and", "DT_JJ JJ_NN NN_NNS NNS_CC", "the_foreign_culture foreign_culture_breaths culture_breaths_and", "DT_JJ_NN JJ_NN_NNS NN_NNS_CC","det","amod","compmod","dep","cc", "much harder to experience the the foreign culture breaths and", 0, 0, "", "", "way", non_possession
"1_7_29","JJ","DT","NN","DT","NN", "experience_the the_way way_the the_foreign", "NN_DT DT_NN NN_DT DT_JJ", "experience_the_way the_way_the way_the_foreign", "NN_DT_NN DT_NN_DT NN_DT_JJ","ccomp","det","","det","amod", "NNS", "CC", "JJ", "JJ", "NN", "breaths_and and_it’s it’s_much much_harder", "NNS_CC CC_JJ JJ_JJ JJ_NN", "breaths_and_it’s and_it’s_much it’s_much_harder", "NNS_CC_JJ CC_JJ_JJ JJ_JJ_NN","dep","cc","amod","amod","conj", "experience the way the foreign breaths and it’s much harder", 0, 1, "", "", "culture", non_possession
"1_7_30","NN","JJ","DT","NN","DT", "the_way way_the the_foreign foreign_culture", "DT_NN NN_DT DT_JJ JJ_NN", "the_way_the way_the_foreign the_foreign_culture", "DT_NN_DT NN_DT_JJ DT_JJ_NN","det","","det","amod","compmod", "CC", "JJ", "JJ", "NN", "TO", "and_it’s it’s_much much_harder harder_to", "CC_JJ JJ_JJ JJ_NN NN_TO", "and_it’s_much it’s_much_harder much_harder_to", "CC_JJ_JJ JJ_JJ_NN JJ_NN_TO","cc","amod","amod","conj","aux", "the way the foreign culture and it’s much harder to", 0, 1, "", "", "breaths", non_possession
"1_7_34","JJ","JJ","CC","NNS","NN", "culture_breaths breaths_and and_it’s it’s_much", "NN_NNS NNS_CC CC_JJ JJ_JJ", "culture_breaths_and breaths_and_it’s and_it’s_much", "NN_NNS_CC NNS_CC_JJ CC_JJ_JJ","compmod","dep","cc","amod","amod", "TO", "VB", "DT", "NNS", "CC", "to_find find_the the_nooks nooks_and", "TO_VB VB_DT DT_NNS NNS_CC", "to_find_the find_the_nooks the_nooks_and", "TO_VB_DT VB_DT_NNS DT_NNS_CC","aux","infmod","det","dobj","cc", "culture breaths and it’s much to find the nooks and", 0, 1, "", "", "harder", non_possession
"1_7_38","DT","VB","TO","NN","JJ", "much_harder harder_to to_find find_the", "JJ_NN NN_TO TO_VB VB_DT", "much_harder_to harder_to_find to_find_the", "JJ_NN_TO NN_TO_VB TO_VB_DT","amod","conj","aux","infmod","det", "CC", "NNS", "WDT", "NNS", "VBP", "and_crannies crannies_which which_locals locals_are", "CC_NNS NNS_WDT WDT_NNS NNS_VBP", "and_crannies_which crannies_which_locals which_locals_are", "CC_NNS_WDT NNS_WDT_NNS WDT_NNS_VBP","cc","","","nsubj","ccomp", "much harder to find the and crannies which locals are", 0, 0, "", "", "nooks", non_possession
"1_7_40","CC","NNS","DT","VB","TO", "to_find find_the the_nooks nooks_and", "TO_VB VB_DT DT_NNS NNS_CC", "to_find_the find_the_nooks the_nooks_and", "TO_VB_DT VB_DT_NNS DT_NNS_CC","aux","infmod","det","dobj","cc", "WDT", "NNS", "VBP", "RB", "JJ", "which_locals locals_are are_well well_aware", "WDT_NNS NNS_VBP VBP_RB RB_JJ", "which_locals_are locals_are_well are_well_aware", "WDT_NNS_VBP NNS_VBP_RB VBP_RB_JJ","","nsubj","ccomp","advmod","acomp", "to find the nooks and which locals are well aware", 0, 0, "", "", "crannies", non_possession
"1_7_42","WDT","NNS","CC","NNS","DT", "the_nooks nooks_and and_crannies crannies_which", "DT_NNS NNS_CC CC_NNS NNS_WDT", "the_nooks_and nooks_and_crannies and_crannies_which", "DT_NNS_CC NNS_CC_NNS CC_NNS_WDT","det","dobj","cc","","", "VBP", "RB", "JJ", "IN", "", "are_well well_aware aware_of", "VBP_RB RB_JJ JJ_IN", "are_well_aware well_aware_of", "VBP_RB_JJ RB_JJ_IN","ccomp","advmod","acomp","adpmod","", "the nooks and crannies which are well aware of", 0, 0, "", "", "locals", non_possession
"1_7_53","DT","IN","PRP","VBG","CC", "But_immersing immersing_myself myself_in in_another", "CC_VBG VBG_PRP PRP_IN IN_DT", "But_immersing_myself immersing_myself_in myself_in_another", "CC_VBG_PRP VBG_PRP_IN PRP_IN_DT","","dep","dobj","adpmod","det", "VBD", "DT", "JJ", "NN", "VBG", "was_a a_worthwhile worthwhile_mind mind_expanding", "VBD_DT DT_JJ JJ_NN NN_VBG", "was_a_worthwhile a_worthwhile_mind worthwhile_mind_expanding", "VBD_DT_JJ DT_JJ_NN JJ_NN_VBG","","","","","", "But immersing myself in another was a worthwhile mind expanding", 0, 0, "", "", "culture", non_possession
"1_7_58","JJ","DT","VBD","NN","DT", "another_culture culture_was was_a a_worthwhile", "DT_NN NN_VBD VBD_DT DT_JJ", "another_culture_was culture_was_a was_a_worthwhile", "DT_NN_VBD NN_VBD_DT VBD_DT_JJ","det","adpobj","","","", "VBG", "NN", "", "", "", "expanding_experience", "VBG_NN", "", "","","","","","", "another culture was a worthwhile expanding experience", 0, 1, "", "", "mind", non_possession
"1_7_60","VBG","NN","JJ","DT","VBD", "was_a a_worthwhile worthwhile_mind mind_expanding", "VBD_DT DT_JJ JJ_NN NN_VBG", "was_a_worthwhile a_worthwhile_mind worthwhile_mind_expanding", "VBD_DT_JJ DT_JJ_NN JJ_NN_VBG","","","","","", "", "", "", "", "", "", "", "", "","","","","","", "was a worthwhile mind expanding", 0, 0, "", "", "experience", non_possession
"1_8_8","WP","VBZ","IN","WRB","PRP", "myself_why why_that that_is is_what", "PRP_WRB WRB_IN IN_VBZ VBZ_WP", "myself_why_that why_that_is that_is_what", "PRP_WRB_IN WRB_IN_VBZ IN_VBZ_WP","","","","","dobj", "WRB", "PRP", "VBP", "TO", "DT", "when_we we_move move_to to_a", "WRB_PRP PRP_VBP VBP_TO TO_DT", "when_we_move we_move_to move_to_a", "WRB_PRP_VBP PRP_VBP_TO VBP_TO_DT","advmod","nsubj","advcl","aux","xcomp", "myself why that is what when we move to a", 0, 0, "", "", "happens", non_possession
"1_8_15","JJ","DT","TO","VBP","PRP", "we_move move_to to_a a_new", "PRP_VBP VBP_TO TO_DT DT_JJ", "we_move_to move_to_a to_a_new", "PRP_VBP_TO VBP_TO_DT TO_DT_JJ","nsubj","advcl","aux","xcomp","amod", "", "", "", "", "", "", "", "", "","","","","","", "we move to a new", 0, 1, "", "", "city", non_possession
"1_9_6","PRP$","IN","RP","VBN","VBP", "get_shocked shocked_out out_of of_our", "VBP_VBN VBN_RP RP_IN IN_PRP$", "get_shocked_out shocked_out_of out_of_our", "VBP_VBN_RP VBN_RP_IN RP_IN_PRP$","aux","ROOT","prt","adpmod","poss", "", "", "", "", "", "", "", "", "","","","","","", "get shocked out of our", 1, 0, "", "", "minds", non_possession
"1_10_8","DT","VBN","VB","RB","MD", "could_not not_have have_imagined imagined_a", "MD_RB RB_VB VB_VBN VBN_DT", "could_not_have not_have_imagined have_imagined_a", "MD_RB_VB RB_VB_VBN VB_VBN_DT","aux","neg","ROOT","","det", "IN", "DT", "IN", "PRP$", "NN", "like_this this_in in_my my_wildest", "IN_DT DT_IN IN_PRP$ PRP$_NN", "like_this_in this_in_my in_my_wildest", "IN_DT_IN DT_IN_PRP$ IN_PRP$_NN","adpmod","adpobj","adpmod","poss","compmod", "could not have imagined a like this in my wildest", 0, 0, "", "", "scene", non_possession
"1_10_13","PRP$","IN","DT","IN","NN", "scene_like like_this this_in in_my", "NN_IN IN_DT DT_IN IN_PRP$", "scene_like_this like_this_in this_in_my", "NN_IN_DT IN_DT_IN DT_IN_PRP$","dep","adpmod","adpobj","adpmod","poss", "NNS", "RB", "IN", "JJ", "DT", "dreams_even even_though though_we’ve we’ve_all", "NNS_RB RB_IN IN_JJ JJ_DT", "dreams_even_though even_though_we’ve though_we’ve_all", "NNS_RB_IN RB_IN_JJ IN_JJ_DT","adpobj","advmod","adpmod","amod","det", "scene like this in my dreams even though we’ve all", 1, 0, "", "", "wildest", non_possession
"1_10_14","NN","PRP$","IN","DT","IN", "like_this this_in in_my my_wildest", "IN_DT DT_IN IN_PRP$ PRP$_NN", "like_this_in this_in_my in_my_wildest", "IN_DT_IN DT_IN_PRP$ IN_PRP$_NN","adpmod","adpobj","adpmod","poss","compmod", "RB", "IN", "JJ", "DT", "NN", "even_though though_we’ve we’ve_all all_heard", "RB_IN IN_JJ JJ_DT DT_NN", "even_though_we’ve though_we’ve_all we’ve_all_heard", "RB_IN_JJ IN_JJ_DT JJ_DT_NN","advmod","adpmod","amod","det","compmod", "like this in my wildest even though we’ve all heard", 1, 0, "", "", "dreams", non_possession
"1_10_20","DT","JJ","IN","RB","NNS", "dreams_even even_though though_we’ve we’ve_all", "NNS_RB RB_IN IN_JJ JJ_DT", "dreams_even_though even_though_we’ve though_we’ve_all", "NNS_RB_IN RB_IN_JJ IN_JJ_DT","adpobj","advmod","adpmod","amod","det", "NNS", "IN", "WRB", "JJ", "JJ", "stories_of of_how how_liberal liberal_Dutch", "NNS_IN IN_WRB WRB_JJ JJ_JJ", "stories_of_how of_how_liberal how_liberal_Dutch", "NNS_IN_WRB IN_WRB_JJ WRB_JJ_JJ","adpobj","adpmod","advmod","amod","amod", "dreams even though we’ve all stories of how liberal Dutch", 0, 1, "", "", "heard", non_possession
"1_10_21","NN","DT","JJ","IN","RB", "even_though though_we’ve we’ve_all all_heard", "RB_IN IN_JJ JJ_DT DT_NN", "even_though_we’ve though_we’ve_all we’ve_all_heard", "RB_IN_JJ IN_JJ_DT JJ_DT_NN","advmod","adpmod","amod","det","compmod", "IN", "WRB", "JJ", "JJ", "NNS", "of_how how_liberal liberal_Dutch Dutch_people", "IN_WRB WRB_JJ JJ_JJ JJ_NNS", "of_how_liberal how_liberal_Dutch liberal_Dutch_people", "IN_WRB_JJ WRB_JJ_JJ JJ_JJ_NNS","adpmod","advmod","amod","amod","nsubj", "even though we’ve all heard of how liberal Dutch people", 0, 1, "", "", "stories", non_possession
"1_10_26","JJ","JJ","WRB","IN","NNS", "stories_of of_how how_liberal liberal_Dutch", "NNS_IN IN_WRB WRB_JJ JJ_JJ", "stories_of_how of_how_liberal how_liberal_Dutch", "NNS_IN_WRB IN_WRB_JJ WRB_JJ_JJ","adpobj","adpmod","advmod","amod","amod", "VBP", "NN", "DT", "NN", "NN", "are_imagine imagine_a a_coffee coffee_shop", "VBP_NN NN_DT DT_NN NN_NN", "are_imagine_a imagine_a_coffee a_coffee_shop", "VBP_NN_DT NN_DT_NN DT_NN_NN","adpobj","dep","det","compmod","dep", "stories of how liberal Dutch are imagine a coffee shop", 0, 1, "", "", "people", non_possession
"1_10_29","VBP","NNS","JJ","JJ","WRB", "how_liberal liberal_Dutch Dutch_people people_are", "WRB_JJ JJ_JJ JJ_NNS NNS_VBP", "how_liberal_Dutch liberal_Dutch_people Dutch_people_are", "WRB_JJ_JJ JJ_JJ_NNS JJ_NNS_VBP","advmod","amod","amod","nsubj","adpobj", "DT", "NN", "NN", "IN", "WDT", "a_coffee coffee_shop shop_in in_which", "DT_NN NN_NN NN_IN IN_WDT", "a_coffee_shop coffee_shop_in shop_in_which", "DT_NN_NN NN_NN_IN NN_IN_WDT","det","compmod","dep","mark","adpobj", "how liberal Dutch people are a coffee shop in which", 0, 0, "", "", "imagine", non_possession
"1_10_31","DT","NN","VBP","NNS","JJ", "Dutch_people people_are are_imagine imagine_a", "JJ_NNS NNS_VBP VBP_NN NN_DT", "Dutch_people_are people_are_imagine are_imagine_a", "JJ_NNS_VBP NNS_VBP_NN VBP_NN_DT","amod","nsubj","adpobj","dep","det", "NN", "IN", "WDT", "CD", "MD", "shop_in in_which which_one one_could", "NN_IN IN_WDT WDT_CD CD_MD", "shop_in_which in_which_one which_one_could", "NN_IN_WDT IN_WDT_CD WDT_CD_MD","dep","mark","adpobj","nsubjpass","aux", "Dutch people are imagine a shop in which one could", 0, 0, "", "", "coffee", non_possession
"1_10_32","NN","DT","NN","VBP","NNS", "people_are are_imagine imagine_a a_coffee", "NNS_VBP VBP_NN NN_DT DT_NN", "people_are_imagine are_imagine_a imagine_a_coffee", "NNS_VBP_NN VBP_NN_DT NN_DT_NN","nsubj","adpobj","dep","det","compmod", "IN", "WDT", "CD", "MD", "VB", "in_which which_one one_could could_enjoy", "IN_WDT WDT_CD CD_MD MD_VB", "in_which_one which_one_could one_could_enjoy", "IN_WDT_CD WDT_CD_MD CD_MD_VB","mark","adpobj","nsubjpass","aux","xcomp", "people are imagine a coffee in which one could enjoy", 0, 0, "", "", "shop", non_possession
"1_10_38","VB","MD","CD","WDT","IN", "in_which which_one one_could could_enjoy", "IN_WDT WDT_CD CD_MD MD_VB", "in_which_one which_one_could one_could_enjoy", "IN_WDT_CD WDT_CD_MD CD_MD_VB","mark","adpobj","nsubjpass","aux","xcomp", "VBZ", "VBN", "IN", "DT", "NN", "is_placed placed_in in_the the_heart", "VBZ_VBN VBN_IN IN_DT DT_NN", "is_placed_in placed_in_the in_the_heart", "VBZ_VBN_IN VBN_IN_DT IN_DT_NN","auxpass","dep","adpmod","det","adpobj", "in which one could enjoy is placed in the heart", 0, 0, "", "", "cannabis", non_possession
"1_10_43","DT","IN","VBN","VBZ","NNS", "cannabis_is is_placed placed_in in_the", "NNS_VBZ VBZ_VBN VBN_IN IN_DT", "cannabis_is_placed is_placed_in placed_in_the", "NNS_VBZ_VBN VBZ_VBN_IN VBN_IN_DT","dobj","auxpass","dep","adpmod","det", "IN", "NNP", "NN", "RB", "JJ", "of_Amsterdam Amsterdam_city city_right right_next", "IN_NNP NNP_NN NN_RB RB_JJ", "of_Amsterdam_city Amsterdam_city_right city_right_next", "IN_NNP_NN NNP_NN_RB NN_RB_JJ","adpmod","compmod","adpobj","advmod","acomp", "cannabis is placed in the of Amsterdam city right next", 0, 0, "", "", "heart", non_possession
"1_10_45","IN","NN","DT","IN","VBN", "placed_in in_the the_heart heart_of", "VBN_IN IN_DT DT_NN NN_IN", "placed_in_the in_the_heart the_heart_of", "VBN_IN_DT IN_DT_NN DT_NN_IN","dep","adpmod","det","adpobj","adpmod", "NN", "RB", "JJ", "TO", "DT", "city_right right_next next_to to_a", "NN_RB RB_JJ JJ_TO TO_DT", "city_right_next right_next_to next_to_a", "NN_RB_JJ RB_JJ_TO JJ_TO_DT","adpobj","advmod","acomp","aux","xcomp", "placed in the heart of city right next to a", 0, 0, "", "", "Amsterdam", non_possession
"1_10_46","NNP","IN","NN","DT","IN", "in_the the_heart heart_of of_Amsterdam", "IN_DT DT_NN NN_IN IN_NNP", "in_the_heart the_heart_of heart_of_Amsterdam", "IN_DT_NN DT_NN_IN NN_IN_NNP","adpmod","det","adpobj","adpmod","compmod", "RB", "JJ", "TO", "DT", "NN", "right_next next_to to_a a_church", "RB_JJ JJ_TO TO_DT DT_NN", "right_next_to next_to_a to_a_church", "RB_JJ_TO JJ_TO_DT TO_DT_NN","advmod","acomp","aux","xcomp","dep", "in the heart of Amsterdam right next to a church", 0, 0, "", "", "city", non_possession
"1_10_52","DT","TO","JJ","RB","NN", "city_right right_next next_to to_a", "NN_RB RB_JJ JJ_TO TO_DT", "city_right_next right_next_to next_to_a", "NN_RB_JJ RB_JJ_TO JJ_TO_DT","adpobj","advmod","acomp","aux","xcomp", "WDT", "VBZ", "VBG", "RB", "JJ", "which_is is_sitting sitting_comfortably comfortably_next", "WDT_VBZ VBZ_VBG VBG_RB RB_JJ", "which_is_sitting is_sitting_comfortably sitting_comfortably_next", "WDT_VBZ_VBG VBZ_VBG_RB VBG_RB_JJ","nsubj","aux","dep","advmod","acomp", "city right next to a which is sitting comfortably next", 0, 1, "", "", "church", non_possession
"1_10_60","TO","JJ","RB","VBG","VBZ", "is_sitting sitting_comfortably comfortably_next next_to", "VBZ_VBG VBG_RB RB_JJ JJ_TO", "is_sitting_comfortably sitting_comfortably_next comfortably_next_to", "VBZ_VBG_RB VBG_RB_JJ RB_JJ_TO","aux","dep","advmod","acomp","aux", "JJ", "JJ", "NN", "NN", "VBD", "famous_red red_light light_district district_filled", "JJ_JJ JJ_NN NN_NN NN_VBD", "famous_red_light red_light_district light_district_filled", "JJ_JJ_NN JJ_NN_NN NN_NN_VBD","amod","amod","compmod","nsubj","rcmod", "is sitting comfortably next to famous red light district filled", 0, 1, "", "", "Amsterdam’s", non_possession
"1_10_63","JJ","JJ","NNP","TO","JJ", "next_to to_Amsterdam’s Amsterdam’s_famous famous_red", "JJ_TO TO_NNP NNP_JJ JJ_JJ", "next_to_Amsterdam’s to_Amsterdam’s_famous Amsterdam’s_famous_red", "JJ_TO_NNP TO_NNP_JJ NNP_JJ_JJ","acomp","aux","dep","amod","amod", "NN", "VBD", "IN", "NNS", "IN", "district_filled filled_with with_ladies ladies_of", "NN_VBD VBD_IN IN_NNS NNS_IN", "district_filled_with filled_with_ladies with_ladies_of", "NN_VBD_IN VBD_IN_NNS IN_NNS_IN","nsubj","rcmod","adpmod","adpobj","adpmod", "next to Amsterdam’s famous red district filled with ladies of", 0, 1, "", "", "light", non_possession
